Emotion,Description,Source
Morbid curiosity,"A conflicted mix of dismay, shame, and bewilderment arising from a prurient interest in suffering or death, often accompanied by guilt over voyeuristic tendencies and the ethical implications of witnessing others' pain or tragedy.",The Book of Human Emotions
Schadenfreude,The pleasure derived from witnessing another person's misfortune or suffering.,The Book of Human Emotions
Mudita,"A feeling of joy and happiness derived from the success or well-being of others, often associated with selfless and empathetic delight.",The Book of Human Emotions
Mixed emotions (joy and envy),"Observing another's happiness can evoke joy and connection, but may also stir envy or inadequacy, reflecting a complex emotional response to others' successes.",The Book of Human Emotions
Joy,"Mudita, as described by Gautama Buddha, is a boundless joy felt in response to someone else's good fortune, free from envy or resentment, highlighting that another's happiness enhances rather than diminishes one's own.",The Book of Human Emotions
Gladsomeness,"A state of joy and cheerfulness, often associated with lighthearted happiness.",The Book of Human Emotions
Schadenfreude,The pleasure or satisfaction derived from witnessing someone else's misfortune or difficulties.,The Book of Human Emotions
NakhES,A feeling of regret or sorrow experienced when realizing that something you once cherished or admired has lost its charm or value.,The Book of Human Emotions
Pride,"The text highlights the pride and joy parents or family members feel when witnessing a child’s accomplishments, no matter how small, as exemplified by contrasting cultural attitudes in ""Meet the Fockers."" It underscores the universal delight and satisfaction derived from such moments.",The Book of Human Emotions
Nakhes,"A feeling of pride and delight parents experience over their children's achievements, fostering a shared sense of success across generations.",The Book of Human Emotions
Mudita,"A feeling of joy or delight in the happiness or success of others, often associated with selfless and empathetic appreciation.",The Book of Human Emotions
Nginyiwarrarringu,"A feeling of longing for something lost or unattainable, often tied to deep emotional or cultural connections.",The Book of Human Emotions
Fear,"Fear is deeply nuanced, with cultures like the Pintupi identifying specific types, such as dread of revenge (ngulu), tension from being followed (kamarrarringu), terror of night spirits (kanarunvtju), and sudden alarm prompting vigilance (nginyiwarrarringu). These variations reflect how emotions are experienced and named differently across societies.",The Book of Human Emotions
Fear,"Fear is an emotional response to a perceived threat or danger, often triggering a fight-or-flight reaction.",The Book of Human Emotions
Nostalgia,"A sentimental longing or wistful affection for the past, often triggered by memories of a time, place, or experience associated with happiness or comfort.",The Book of Human Emotions
Bittersweet,"A mix of warmth and melancholy evoked by reminiscing, such as through songs or photographs, bringing both joy and sorrow for lost connections and faded hopes.",The Book of Human Emotions
Nostalgia,"Nostalgia was once considered a potentially fatal emotion, reflecting its intense and overwhelming nature in the past.",The Book of Human Emotions
Nostalgia,"Nostalgia, initially identified in 1688 by Johannes Hofer, described a debilitating longing for home among Swiss soldiers. Symptoms included sadness, lethargy, physical ailments, and even death. The only cure was returning home, though attempts often led to execution. By the 19th century, it became a widely studied medical condition.",The Book of Human Emotions
Nostalgia,"Nostalgia is a wistful yearning for the past, evoking rapturous memories tied to smells, songs, and images. While excessive nostalgia may lead to regret and dissatisfaction with the present, it often fosters feelings of belonging, identity, and stability amidst life's chaos.",The Book of Human Emotions
Nostalgia,"Nostalgia enhances existential meaning and social connectedness, combats anxiety and loneliness, and is triggered by sensory cues like smells. It may have an evolutionary role, as reminiscing in colder weather can raise body temperature, offering both emotional and physical warmth.",The Book of Human Emotions
Nostalgia,"Reflects a wistful longing for the past, acknowledging how perceptions of nostalgia have evolved over time.",The Book of Human Emotions
Melancholy/Regret,A reflective sadness or sorrow often tied to feelings of loss or missed opportunities.,The Book of Human Emotions
Undefined,"The text ""OIME"" does not provide enough context or recognizable information to identify a specific emotion.",The Book of Human Emotions
Oime,"The intense discomfort or unease of feeling indebted to others, as recognized in Japanese culture.",The Book of Human Emotions
Gratitude,"A feeling of thankfulness and appreciation, often directed towards someone or something for a positive action, gift, or experience.",The Book of Human Emotions
Overwhelmed,"A state of feeling emotionally or mentally overloaded, often due to excessive demands, stress, or an inability to manage multiple responsibilities or emotions simultaneously.",The Book of Human Emotions
Overwhelmed,"A modern sense of being inundated by excessive digital information, creating an illusion of control but leading to a sinking, defeated feeling akin to capsizing, rooted in the historical term for being submerged.",The Book of Human Emotions
Overwhelm,"The fear of being inundated by excessive information, stemming from historical instances like the post-Gutenberg era, highlights a persistent anxiety about managing an overload of knowledge.",The Book of Human Emotions
Awe,"The text conveys awe at Lubna of Cordoba's extraordinary intellect and accomplishments, highlighting her mastery of poetry, mathematics, and science, as well as her role in preserving and disseminating knowledge in the medieval Arab world.",The Book of Human Emotions
Overwhelm,"The text describes the feeling of being overwhelmed by an excess of information, as writers and readers struggled to cope with the flood of new books after the invention of the printing press, raising concerns about reliability, prioritization, and the loss of important ideas amidst the abundance.",The Book of Human Emotions
Overwhelmed,"The text conveys a sense of being overwhelmed by the early ""information overload,"" prompting the development of techniques like reference books, note-taking, and filing systems to manage and organize vast amounts of knowledge efficiently.",The Book of Human Emotions
Overwhelm,"The text conveys a sense of overwhelm due to information overload, but also highlights how this challenge has led to improved reading strategies and adaptability, contrasting modern approaches with historical methods of meticulous study.",The Book of Human Emotions
Overwhelm,"Samuel Johnson managed feelings of overwhelm from the abundance of new books by adopting a pragmatic approach, using four reading modes ranging from intense concentration to cursory skimming, allowing him to navigate the challenge effectively.",The Book of Human Emotions
Bafflement,"A state of confusion or puzzlement, often arising from something unexpected or difficult to understand.",The Book of Human Emotions
Panic,"An intense, sudden feeling of fear or anxiety, often causing a loss of control or irrational behavior in response to a perceived threat or emergency.",The Book of Human Emotions
Panic,"A state of overwhelming fear causing irrational and instinctive self-preservation behaviors, such as frantic actions, screaming, and chaos, often triggered by perceived immediate danger.",The Book of Human Emotions
Panic,"Panic originates from Greek mythology, describing sudden, inexplicable terror linked to the deity Pan. It conveys a hard-to-explain dread and the sensation of being overtaken by dangerous, collective irrationality, often tied to chaotic or ecstatic experiences.",The Book of Human Emotions
Panic,"Panic was studied by late-19th-century crowd psychologists as a contagious, primitive emotion where individuals in crowds regressed to a less stable state. These ideas, influenced by outdated evolutionary and racial biases, linked susceptibility to panic with perceived emotional inferiority in certain groups.",The Book of Human Emotions
Panic,"A sudden, intense fear marked by difficulty breathing, rapid heartbeat, sweating, and a sense of impending doom. Often linked to PTSD or phobias, panic attacks can occur unexpectedly and amplify fear as symptoms worsen.",The Book of Human Emotions
Panic,"The text describes modern panic fueled by digital communication, where conspiracy theories and rumors spread rapidly through social media, causing chaos and confusion akin to traditional mob fear, but amplified by technology.",The Book of Human Emotions
Torschlusspanik,"A German term describing the fear of missed opportunities or running out of time to achieve goals, often accompanied by anxiety or urgency.",The Book of Human Emotions
Empathy,"The ability to understand and share the feelings of others, often leading to the spread of emotions between individuals.",The Book of Human Emotions
Paranoia,"A state of intense distrust or suspicion, often irrational, where one feels threatened or believes others are conspiring against them.",The Book of Human Emotions
Paranoia,"A sense of unease and suspicion arises from perceived threats, such as being watched, judged, or targeted, leading to physical symptoms like a racing heart and sweating.",The Book of Human Emotions
Uncertainty,"Expresses doubt or questioning, leaving the situation open-ended and unresolved.",The Book of Human Emotions
Paranoia,"A feeling of double uncertainty, involving suspicion of others' motives and doubt about trusting one's own perceptions.",The Book of Human Emotions
Paranoia,"Paranoia, historically linked to delirium and misperceptions, evolved from describing temporary neurotic states to a permanent psychotic disorder marked by severe delusions, often involving persecutory fantasies, as seen in the late 19th century through cases like Daniel Schreber's.",The Book of Human Emotions
Paranoia,"Paranoia, initially a psychiatric term, evolved into a broader descriptor for undue suspicion and fear of persecution. It was linked to personal and global tensions, with Cold War leaders exemplifying its impact on irrational hostility and potential catastrophic consequences. Nabokov criticized it as a banal, bourgeois mindset.",The Book of Human Emotions
Paranoia,"Paranoia is increasing despite living in a safer era. Heightened fear culture, like post-2005 London bombings, fosters unjustified suspicion. Rationalizing paranoia can worsen it, undermining trust in others and oneself. Exploring paranoid thoughts more deeply might offer alternative insights.",The Book of Human Emotions
Paranoia,"Paranoia can serve as a coping mechanism, helping individuals manage intolerable aspects of their lives, such as loneliness, inadequacy, or loss of intimacy, by attributing distress to external persecution rather than internal struggles or painful realities.",The Book of Human Emotions
Paranoia,"Paranoia, often heightened by confusion or disorientation, can arise from misunderstood situations, such as hearing loss or dementia. It may reflect attempts to reconcile past experiences with present disorientation. Embracing these perceptions empathetically can foster a supportive environment for patients and carers.",The Book of Human Emotions
Paranoia,"Paranoia involves suspicion and fear stemming from ambiguity and uncertainty, often fueled by self-doubt and the human tendency to find patterns or connections (apophenia) where none exist, reflecting both a challenge of perception and a unique aspect of imagination.",The Book of Human Emotions
Ambiguity-related emotions,"Refers to feelings linked to fear of ambiguity (Ambiguophobia), disorientation in unfamiliar settings (Dépaysement), and the belief that the world conspires for one's benefit (Pronoia).",The Book of Human Emotions
Perversity,"A willful inclination to act against one's own best interest or moral standards, often driven by a defiant or irrational impulse.",The Book of Human Emotions
Temptation,"A strong, impulsive desire to pursue something despite rational warnings or deterrence.",The Book of Human Emotions
Guilt,"A consuming and irrational feeling of self-reproach, often leading to self-destructive behavior, as described in the context of an uncontrollable urge to confess or act against one's own interest.",The Book of Human Emotions
Defiance,"A feeling of rebellious satisfaction in knowingly engaging in self-sabotaging actions, despite understanding the personal consequences, accompanied by a sense of pride or confidence in the moment.",The Book of Human Emotions
Self-destructive impulse,"A compelling inner urge, personified as the ""Imp of the Perverse,"" that tempts individuals toward self-sabotaging actions, neglecting responsibilities, confessing wrongdoings, or embracing dangerous risks.",The Book of Human Emotions
Acedia and Terror,"Acedia refers to a state of spiritual or emotional apathy, while Terror denotes intense fear or dread. Both are emotions implanted by imps, as referenced.",The Book of Human Emotions
L’appel du vide,"A sudden, inexplicable urge to jump or act impulsively, often experienced when standing in high places, reflecting a fleeting confrontation with one's own mortality.",The Book of Human Emotions
Fear,An intense feeling of anxiety or unease triggered by open or vast spaces.,The Book of Human Emotions
Agoraphobia,"Madame B found comfort in enclosed spaces but experienced anxiety and physical distress, including dizziness and shaking, when exposed to open areas, crowds, or crossing bridges, fearing others' attention.",The Book of Human Emotions
Agoraphobia,"A fear of open or public spaces, widely recognized in the late 19th century. Initially termed ""peur des espaces"" in French and ""Platzangst"" in German, it was later named ""agoraphobia"" by Carl Otto Westphal, reflecting its association with marketplaces.",The Book of Human Emotions
Alienation,"The late 19th-century modern cities, with their grand designs, evoked awe but also loneliness, disorientation, and panic, particularly in overwhelming spaces. This emotional response, termed ""peur des espaces,"" reflects a reaction to modernity's restlessness and the anxiety of excessive choices.",The Book of Human Emotions
Agoraphobia,"Agoraphobia is a fear of open or public spaces, potentially stemming from evolutionary instincts, vestibular system issues causing disorientation, or societal factors like gender-based intimidation. It may reflect a survival mechanism, physical imbalance, or a rational response to hostile environments rather than solely a psychological disorder.",The Book of Human Emotions
Claustrophobia,"Fear or anxiety triggered by confined spaces, often accompanied by a strong urge to escape or avoid such environments.",The Book of Human Emotions
Philoprogenitiveness,"A strong affection or love for one's offspring or children, often characterized by nurturing and protective instincts.",The Book of Human Emotions
Parental love,"Philoprogenitiveness, as defined by early phrenologists, is a blend of emotion and instinct characterized by a strong desire to nurture and care for vulnerable beings, such as children or pets.",The Book of Human Emotions
Parental overindulgence,"The text describes a tendency for excessive nurturing or coddling of children, linked to a physical trait, with advice to restrain this impulse to avoid becoming overly consumed by parental responsibilities.",The Book of Human Emotions
AMAE; NAKHES,"AMAE refers to a Japanese emotion of dependence and indulgence in another's benevolence. NAKHES, from Yiddish, describes joy or pride derived from someone else's achievements, often a child or loved one.",The Book of Human Emotions
Pique,"A sudden feeling of irritation or resentment, often triggered by a perceived slight or offense.",The Book of Human Emotions
Indignation,"A sharp anger triggered by wounded pride, prompting a swift, dignified reaction like threatening resignation or leaving abruptly.",The Book of Human Emotions
Miffed,"A mild feeling of irritation or annoyance, often stemming from a perceived slight or insult.",The Book of Human Emotions
Pity,"A feeling of sorrow or compassion for someone else's suffering or misfortune, often accompanied by a sense of sympathy or a desire to help.",The Book of Human Emotions
Pity,"In classical Athens, courts valued emotional appeals, with plaintiffs encouraged to evoke pity through humble expressions and tears. Cicero advised such tactics but warned that the emotional impact of tears was fleeting and not a guarantee of success.",The Book of Human Emotions
Pity,"Pity involves a sense of superiority and the ability to offer relief or charity, often tied to power asymmetry. Historically, it evolved from an enjoyable emotional release in Aristotle's view to a devotional practice in medieval Christianity, fostering grief for Christ’s suffering and personal remorse for sins.",The Book of Human Emotions
Pity,"Pity is portrayed as a condescending and temporary emotion that reinforces inferiority, as critiqued by philosophers like Kant and authors like Stefan Zweig. It is described as stifling, insincere, and performative, reducing the recipient to a subordinate position while lacking genuine, lasting compassion.",The Book of Human Emotions
Compassion,"Compassion is often repressed due to the discomfort of witnessing suffering, fear of responsibility, or aversion to vulnerability. Pity may act as a self-protective barrier, allowing emotional distance and avoiding deeper connections or the pain of confronting another's struggles.",The Book of Human Emotions
Self-pity,"A feeling of excessive sorrow or pity for oneself, often stemming from perceived misfortune or hardship.",The Book of Human Emotions
Rage,"An intense and uncontrollable anger, often leading to aggressive or violent outbursts.",The Book of Human Emotions
Rage,"Workplace rage, exemplified by violent outbursts, became associated with the term ""going postal"" following a series of deadly mass shootings by postal workers in the 1980s.",The Book of Human Emotions
Rage,"A culturally influenced, intense emotional state often linked to humiliation or spirit possession, leading to violent or erratic behavior. Examples include ""amok"" in Malaysia, marked by rampages and memory loss, and ""guria"" in New Guinea, involving wild, non-lethal acts and temporary personality changes.",The Book of Human Emotions
Wanderlust,"A strong desire or impulse to travel and explore new places, often tied to a sense of curiosity and adventure.",The Book of Human Emotions
Rage,"Intense anger or fury, often accompanied by a strong sense of frustration or dissatisfaction.",The Book of Human Emotions
Pride,"A feeling of deep satisfaction and self-respect derived from one's achievements, qualities, or possessions, often linked to personal or group success.",The Book of Human Emotions
Pride,"The depiction of Queen Idia conveys a composed, dignified pride, reflecting her sense of accomplishment and value as a powerful military strategist and cultural leader in Benin's flourishing society. Her expression exudes self-assurance without arrogance, embodying her significant historical and personal achievements.",The Book of Human Emotions
Pride,"Pride is a wave-like feeling of fullness and accomplishment, often arising from overcoming challenges or recognition. It contrasts with shame, as pride encourages visibility and self-acknowledgment, making one's inner self feel vibrant and complete.",The Book of Human Emotions
Pride,"Pride, both true and false, can blind individuals to their limitations, foster defensiveness, and hinder self-awareness. False pride, in particular, resists vulnerability, refuses help, and avoids acknowledging flaws, as seen in the narrator of Munro’s story, whose pride prevents him from addressing a personal insecurity despite recognizing its validity.",The Book of Human Emotions
Pride,"Soyinka's reaction to the Benin Bronzes reflects pride in African cultural achievements, countering colonial narratives of inferiority. This pride emerges from recognizing both the loss caused by colonialism and the greatness of African civilizations, fostering a sense of restored identity and self-esteem.",The Book of Human Emotions
Contentment,"A state of satisfaction and ease, often linked to self-esteem and a sense of fulfillment.",The Book of Human Emotions
Pronoia,"The belief or feeling that the universe is conspiring in your favor, fostering a sense of optimism and trust in positive outcomes.",The Book of Human Emotions
Paranoia,"A peculiar sensation of mistrust, feeling as though others' assistance may have hidden motives.",The Book of Human Emotions
Gratitude,"A feeling of thankfulness and appreciation, often directed towards others or circumstances.",The Book of Human Emotions
Rage,"Intense, uncontrollable anger often accompanied by a strong desire to act or retaliate.",The Book of Human Emotions
Rage,"Rage is an uncontrollable, irrational frenzy marked by physical outbursts like flailing and shouting. Unlike concealed emotions such as jealousy, it erupts in bursts and cannot be hidden. While anger and indignation can be justified, rage lacks rationality.",The Book of Human Emotions
Rage,"The text explores the proliferation of rage types, from road rage to wrap rage, highlighting society's complex and uneasy relationship with uncontrollable fury, which contrasts with the lack of similar categorization for other emotions like homesickness or doubt. Rage both fascinates and terrifies due to its unpredictable nature.",The Book of Human Emotions
Rage,"Rage is increasingly scrutinized in modern society, with impulsive, disproportionate outbursts now classified as intermittent explosive disorder. This condition involves sudden loss of control, causing harm or damage, and is linked to low serotonin levels, with antidepressants suggested as treatment. Social norms in Britain and America deem such anger increasingly unacceptable.",The Book of Human Emotions
Rage,"Rage is a natural, intense response to perceived injustice, tied to a sense of defiance and the potential for societal change. Suppressing it risks dehumanizing individuals and removing a catalyst for justice and transformation.",The Book of Human Emotions
Frustration,"Frustration arises from minor irritations, such as unmet expectations or repeated annoyances, leading to brief outbursts of anger. While often regretted, these moments reflect human engagement with the world and can connect to larger expressions of dissatisfaction, like revolutions or riots.",The Book of Human Emotions
Exasperation,"A feeling of intense irritation or frustration, often due to repeated or prolonged annoyance.",The Book of Human Emotions
Regret,"A feeling of sorrow or disappointment over something that has happened or been done, often due to a perceived mistake or missed opportunity.",The Book of Human Emotions
Regret,"Regret is a seductive emotion that intertwines discomfort with fleeting pleasure and relief. It entices through ""what if"" fantasies, offering temporary solace by imagining alternative outcomes or reversed decisions, despite its association with stagnation.",The Book of Human Emotions
Regret,"Regret, originating from Old French, initially described grief over loss and was expressed through public lamentations. By the 16th century, it evolved into a private, self-reproaching anguish over past actions, becoming a moral deterrent tied to internalized guilt rather than external punishment.",The Book of Human Emotions
Regret,"Regret is a private emotion tied to loss and self-perception. It arises when actions conflict with one’s identity, often rooted in past criticisms or failures. It’s painful when efforts to counter negative beliefs are undermined, intertwining regret with disappointment over lost self-assigned roles or aspirations.",The Book of Human Emotions
Regret,"Regret, often seen as pointless, can foster personal growth by encouraging responsibility, learning from mistakes, and understanding self-beliefs. It highlights human ambivalence and the impossibility of predicting outcomes, ultimately helping build resilience and a flexible self-view.",The Book of Human Emotions
Regret,"Regret is a yearning for a different outcome, marked by mental wavering and persistent discomfort. Unlike resignation, it holds a peculiar hope by allowing us to imagine alternate possibilities and learn from past experiences.",The Book of Human Emotions
Melancholy/Nostalgia,"A reflective and often bittersweet emotional state, evoking a sense of longing or sadness for the past or something lost.",The Book of Human Emotions
Relief,"A feeling of reassurance and relaxation following the removal or reduction of stress, pain, or discomfort.",The Book of Human Emotions
Vulnerability,"The speaker expresses a need to release emotions, seeking permission to cry, indicating openness and emotional sensitivity.",The Book of Human Emotions
Melancholy,"Helena, slightly drunk and sentimental, reflects on aging, her children's struggles, and the passage of time during a quiet, late-night moment, expressing a desire to cry.",The Book of Human Emotions
Frustrated sadness,"A woman struggles to cry despite emotional distress, attempting to force tears through physical gestures, but remains unable to release her emotions, reflecting frustration and sadness.",The Book of Human Emotions
Emotional numbness,"The speaker feels unable to cry or express their emotions, seeking solace in alcohol to cope.",The Book of Human Emotions
Relief,"She finds relief through laughter at her own absurdity after drinking, providing the emotional release she seeks.",The Book of Human Emotions
Grief,"The scene reflects the idea that crying provides relief, as grief is expressed and alleviated through tears, echoing Ovid's sentiment about the cathartic nature of weeping.",The Book of Human Emotions
Relief,"Relief is a pleasure felt when actual or anticipated pain subsides, either through bodily sensations (e.g., sneezing, orgasm) or near-miss experiences (e.g., finding lost keys). The latter is a ""prospect-based emotion,"" involving comparisons of alternative realities and tied to satisfaction and disappointment.",The Book of Human Emotions
Relief,"Crying can bring relief and emotional refreshment, acting as a physical release of tension. While theories suggest tears may flush out toxins or hormones, the true impact appears more psychological than physiological, akin to catharsis. This emotional release has been recognized since ancient times, symbolizing renewal and inner calm.",The Book of Human Emotions
Relief,"Relief is a complex emotion that often intertwines with other feelings like adrenaline, disappointment, or solace. It arises from unburdening oneself, being understood, or receiving support, offering a sense of lightness and reassurance, not merely from venting but from feeling seen and acknowledged.",The Book of Human Emotions
Empathy,"The text associates weeping with empathy, suggesting a connection between emotional expression and understanding or sharing the feelings of others.",The Book of Human Emotions
Grief,"A deep sorrow often caused by loss, such as the death of a loved one, leading to emotional pain and mourning.",The Book of Human Emotions
Reluctance,"A feeling of hesitation or unwillingness to act, often due to doubt, fear, or lack of desire.",The Book of Human Emotions
Pressure,"The text conveys a sense of societal pressure to make commitments, emphasizing decisiveness and clarity as expectations promoted by external sources like magazines and self-help books.",The Book of Human Emotions
Reluctance,"A hesitant, noncommittal feeling marked by resistance to action, such as delaying decisions or avoiding tasks.",The Book of Human Emotions
Ambivalence,"Amelia Earhart felt conflicted on her wedding day, torn between societal expectations of being a dutiful wife and her desire for independence and passion for flying, a struggle she had repeatedly discussed with her partner.",The Book of Human Emotions
Pragmatic love,"The text conveys a pragmatic and forward-thinking approach to love, emphasizing mutual understanding, freedom, and realistic expectations within a happy marriage. Despite her untimely death, the marriage remained intact, reflecting a balance of affection and practicality.",The Book of Human Emotions
Ambivalence,"A state of mixed or conflicting feelings, often linked to uncertainty and indecision, offering potential benefits in certain contexts.",The Book of Human Emotions
Remorse,"A deep sense of regret or guilt for a past action, often accompanied by a desire to make amends or undo the harm caused.",The Book of Human Emotions
Remorse,"Overwhelmed by guilt after harming his mother, the young man expresses deep remorse through self-punishment, as depicted in a 1450s painting where Saint Peter attempts to heal him while anxious women look on.",The Book of Human Emotions
Remorse,"A painful yet urgent emotion driven by the realization of having hurt someone, remorse compels action to make amends. Unlike shame or regret, it is wild, tinged with terror and love, and rooted in a hopeful desire to heal and preserve relationships.",The Book of Human Emotions
Remorse,"Remorse is highlighted in today's ""Age of Apology,"" where public displays of contrition by figures like politicians and celebrities aim to aid victims' healing and satisfy societal demands for accountability following scandals or past wrongdoings.",The Book of Human Emotions
Remorse,"Remorse is questioned for its sincerity due to its performative nature, often taught as a learned behavior. It’s debated whether remorse is genuine or strategic, as seen in political apologies or legal processes, and whether it qualifies as a true emotion or merely a social construct.",The Book of Human Emotions
Remorse,"A deeply passionate and sorrowful emotion, often expressed through tears, self-abasement, and physical acts of contrition. In medieval Europe, remorse was central to religious devotion, legal processes, and public penance, serving as evidence of sincere repentance and often influencing judgments of mercy.",The Book of Human Emotions
Remorse,"Medieval theologians viewed true remorse as a rational, voluntary spiritual virtue involving a calm, reasoned desire to make amends, rejecting excessive emotional displays or extreme acts of penitence, which they believed could lead to disproportionate harm rather than genuine atonement.",The Book of Human Emotions
Remorse,"Remorse is portrayed as a thoughtful and restrained emotion, calculated in a quiet manner rather than impulsively, prompting reflection on its authenticity in public displays.",The Book of Human Emotions
Guilt,"A feeling of responsibility or remorse for a perceived wrongdoing or failure, often accompanied by self-reproach or regret.",The Book of Human Emotions
Reproachfulness,A feeling of disapproval or disappointment directed toward someone due to their actions or behavior.,The Book of Human Emotions
Smugness,"A sense of self-righteous satisfaction derived from confronting or correcting others' inappropriate behavior, such as addressing racism or discourtesy.",The Book of Human Emotions
Regret,"The hesitation and premonition of regret when correcting others, leading to restrained expressions of disapproval like cold looks, sighs, or mutterings due to fear of misunderstanding or hurting feelings.",The Book of Human Emotions
Irritation,"Frustration arises when efforts to address issues are ignored or met with defensive reproaches, highlighting the irritation caused by others' unwillingness to accept criticism or judgment.",The Book of Human Emotions
Fury,"The text conveys intense, unexpressed anger, manifesting as inner rage, a critical mindset, and suppressed irritation while navigating the city.",The Book of Human Emotions
Miffed,A mild feeling of annoyance or irritation.,The Book of Human Emotions
Resentment,A feeling of bitterness or indignation arising from perceived unfair treatment or being wronged.,The Book of Human Emotions
Resentment,"Resentment arises from suppressed anger and hatred due to unexpressed hurt, humiliation, or frustration. It stems from dependency and manifests over time as compacted bitterness, expressed subtly through spiteful, competitive, or punishing actions.",The Book of Human Emotions
Resentment,A quiet yet deeply unpleasant and negative emotion.,The Book of Human Emotions
Resentment,"Resentment is a voiceless feeling rooted in bitterness and unsatisfied vengefulness, historically linked to physical and emotional decay. In art, it was depicted as pale, thin, and ulcerous, symbolizing retained anger as a corrosive force harming both the soul and body.",The Book of Human Emotions
Resentment,"Resentment is linked to physical health issues, such as digestive problems, according to 1950s psychosomatic medicine. It suggests that releasing buried anger in a safe therapeutic setting can prevent its harmful effects, an idea that continues to influence perspectives on emotional health.",The Book of Human Emotions
Resentment,"Resentment is a bitter, suppressed emotion associated with seething frustration and a sense of injustice. It is often harbored secretly by individuals who avoid confrontation, deriving a perverse satisfaction from feeling wronged while resisting resolution.",The Book of Human Emotions
Resentment,"Resentment, or ressentiment, is described as a suppressed and petty emotion stemming from powerlessness, where individuals bury their indignation and vengeful urges, occasionally expressing them in minor acts of spite. Nietzsche contrasts this with a noble ""master morality"" that once celebrated direct rage and vengeance, which was replaced by a ""slave morality.""",The Book of Human Emotions
Ressentiment,"Ressentiment is a hidden anger and denial focused on compensation rather than action. Nietzsche linked it to religious teachings of patient suffering and redress, while Žižek controversially associates it with terrorism, framing it as a morally suspect, low-status response rather than heroic emotions like rage or revenge.",The Book of Human Emotions
Resentment,"Resentment is a settled, deliberate emotion often arising from suppressed anger. It can act as a restraint in escalating situations and is shaped by prolonged suffering, fantasies of revenge, and disappointment. Cultures with histories of oppression may view it as a distinct emotional experience, influencing deep emotional and psychological development.",The Book of Human Emotions
Anger,"A strong feeling of displeasure or hostility, often in response to perceived wrongs or frustrations.",The Book of Human Emotions
Ringxiety,"The phantom sensation of feeling or hearing a phone ring or vibrate when it hasn't, often linked to anxiety or habitual phone use.",The Book of Human Emotions
Ringxiety,"A low-level anxiety where one falsely perceives their phone ringing or vibrating, reflecting a heightened state of readiness for communication in the modern age.",The Book of Human Emotions
Anticipation/Dread,"A state of expectation or apprehension, often involving a mix of excitement or fear about future events.",The Book of Human Emotions
Rivalry,"A competitive feeling or tension arising from a desire to outperform or surpass someone else, often accompanied by comparison and ambition.",The Book of Human Emotions
Jealousy,"Overwhelmed by frustration and envy toward a relative who effortlessly outshines you, stealing attention and success. This leads to anger, self-doubt, and a desperate need to compete, culminating in feelings of inadequacy and resentment.",The Book of Human Emotions
Rivalry,"The text explores rivalry as a fundamental human emotion, tied to possessiveness, jealousy, and competition. Philosophers like Hobbes and Spencer emphasized life as a competitive struggle, though Darwin highlighted compassion and altruism as equally vital for survival.",The Book of Human Emotions
Sibling rivalry,"A natural instinct characterized by competitiveness and jealousy among siblings, rooted in survival instincts and historically acknowledged, with the term coined in 1893 by child psychologists.",The Book of Human Emotions
Envy,"In the early 20th century, concerns about sibling rivalry and envy grew, fueled by fears of family breakdown. Smaller families highlighted unequal resource distribution, and competition was seen as emotionally damaging, as depicted in Arthur Miller's ""Death of a Salesman,"" where rivalry and despair dominate familial relationships.",The Book of Human Emotions
Rivalry,"Rivalry is framed as a potentially positive force, fostering creativity, motivation, flexibility, and emotional intelligence in children as they navigate and understand the impact of their actions on others.",The Book of Human Emotions
Ambition,"Montaigne reflects on ambition, highlighting its dual nature—testing strategic thinking and virtues like courage, while exposing individuals to intense emotions such as jealousy, triumph, anger, and vengefulness. He contrasts true effort with ease, emphasizing the depth of living through challenges rather than passivity.",The Book of Human Emotions
Disillusionment,"The text conveys a sense of disillusionment, highlighting the paradox that achieving success or reaching the top can lead to a dull and unsatisfying life.",The Book of Human Emotions
Smugness,"A feeling of self-satisfaction or superiority, often accompanied by a sense of pride or conceit.",The Book of Human Emotions
Anger,"Intense anger or frustration experienced while driving, often triggered by traffic, other drivers' actions, or delays.",The Book of Human Emotions
Indignation,"Drivers felt indignation when others disrespected road rules, leading to retaliatory actions like cutting off vehicles, ramming, or confronting others aggressively.",The Book of Human Emotions
Rage,"Intense anger experienced during driving, often leading to violent or aggressive behavior, recognized as a road hazard since the late 1980s.",The Book of Human Emotions
Aggression,"Aggression arises from disinhibition while driving, as cars create a sense of anonymity and detachment. This lack of eye contact and emotional cues fosters hostility, unlike face-to-face interactions where gestures and eye contact can diffuse indignation.",The Book of Human Emotions
Conscientiousness,"The presence of eye images triggers a sense of being observed, leading to more generous, responsible, and prosocial behavior, as shown in experiments involving honesty boxes, recycling bins, and charitable websites.",The Book of Human Emotions
Insulted,"A feeling of being disrespected or offended, often accompanied by paranoia or rage.",The Book of Human Emotions
Ruinenlust,"A fascination or yearning for ruins, often evoking a mix of nostalgia, curiosity, and aesthetic appreciation for decay and history.",The Book of Human Emotions
Fascination,A strong attraction to the mystery and decay of abandoned places and crumbling buildings.,The Book of Human Emotions
Morbid Curiosity,"A fascination with macabre, unsettling, or tragic subjects, often driven by a desire to understand or confront darker aspects of life.",The Book of Human Emotions
Sadness,"A feeling of sorrow or unhappiness often caused by loss, disappointment, or difficult circumstances.",The Book of Human Emotions
Alarm,A sudden sense of fear or urgency triggered by being informed of a terrible event.,The Book of Human Emotions
